Perf_ID,Match_ID,Player_ID,KDA_Ratio,Combat_Score,Headshot_Pct,Outcome
PF0093,M013,P0010,7.77,227,82.62,Loss
PF0094,M013,P0416,0.20,534,41.15,Win
PF0095,M013,P0417,1.95,368,66.62,Win
PF0096,M013,P0418,0.00,157,77.41,Win
PF0097,M013,P0419,4.65,635,12.78,Win
PF0098,M013,P0420,0.00,695,71.75,Win
PF0099,M015,P0521,5.82,311,34.52,
PF0100,M015,P0522,7.27,339,48.26,
PF0101,M015,P0523,0.00,136,98.34,
PF0102,M015,P0525,5.67,324,25.40,
PF0103,M015,P0061,3.88,506,56.79,
PF0104,M015,P0062,2.87,428,36.10,
PF0105,M015,P0063,6.21,336,4.35,
PF0106,M015,P0064,7.49,369,15.62,
PF0107,M015,P0065,8.45,0,7.49,
PF0108,M018,P0236,7.53,573,63.49,Win
PF0109,M018,P0237,4.78,526,3.33,Win
PF0110,M018,P0238,4.20,88,88.81,Win
PF0111,M018,P0239,3.45,409,90.84,Win
PF0112,M018,P0240,4.17,685,60.79,Win
PF0113,M018,P0506,0.60,395,98.35,Loss
PF0114,M018,P0507,0.00,655,63.49,Loss
PF0115,M018,P0508,8.49,232,100.00,Loss
PF0116,M018,P0509,7.66,528,40.45,Loss
PF0117,M018,P0510,3.03,559,80.32,Loss
PF0118,M019,P0507,5.76,160,100.00,Loss
PF0119,M019,P0508,2.34,0,100.00,Loss
PF0120,M019,P0509,4.68,157,98.10,Loss
PF0121,M019,P0510,8.81,568,8.27,Loss
PF0122,M019,P0101,0.00,40,100.00,Win
PF0123,M019,P0102,7.03,120,60.87,Win
PF0124,M019,P0103,7.77,245,89.68,Win
PF0125,M019,P0104,7.47,555,91.83,Win
PF0126,M019,P0105,5.06,468,53.97,Win
PF0127,M020,P0101,7.86,628,100.00,Win
PF0128,M020,P0102,0.00,203,66.97,Win
PF0129,M020,P0103,4.85,689,60.29,Win
PF0130,M020,P0104,5.36,462,100.00,Win
PF0131,M020,P0105,3.93,212,80.90,Win
PF0132,M020,P0066,0.00,382,100.00,Loss
PF0133,M020,P0067,0.00,657,73.36,Loss
PF0134,M020,P0068,3.77,344,61.80,Loss
PF0135,M020,P0069,5.69,134,15.99,Loss
PF0136,M020,P0070,2.35,402,42.00,Loss
PF0137,M021,P0066,7.68,463,0.18,Loss
PF0138,M021,P0067,0.00,337,2.51,Loss
PF0139,M021,P0068,1.55,533,27.83,Loss
PF0140,M021,P0069,3.56,3,71.02,Loss
PF0141,M021,P0070,0.64,0,100.00,Loss
PF0142,M021,P0306,2.66,419,40.54,Win
PF0143,M021,P0307,6.50,1,13.45,Win
PF0144,M021,P0308,0.00,390,2.33,Win
PF0145,M021,P0309,3.15,399,5.41,Win
PF0146,M021,P0310,3.26,488,22.84,Win
PF0147,M022,P0306,6.68,184,7.14,Win
PF0148,M022,P0307,3.11,81,87.33,Win
PF0149,M022,P0308,0.00,324,86.89,Win
PF0150,M022,P0309,8.52,492,73.54,Win
PF0151,M022,P0310,5.71,371,100.00,Win
PF0152,M022,P0221,0.17,432,100.00,Loss
PF0153,M022,P0222,0.00,462,99.06,Loss
PF0154,M022,P0223,7.23,212,100.00,Loss
PF0155,M022,P0224,2.78,39,100.00,Loss
PF0156,M022,P0225,0.26,45,100.00,Loss
PF0157,M024,P0131,0.00,685,61.68,
PF0158,M024,P0132,0.00,578,23.31,
PF0159,M024,P0133,6.03,382,29.92,
PF0160,M024,P0134,6.50,132,100.00,
PF0161,M024,P0135,5.91,343,26.97,
PF0162,M024,P0196,3.13,95,79.28,
PF0163,M024,P0197,3.36,382,46.87,
PF0164,M024,P0198,2.76,614,100.00,
PF0165,M024,P0199,2.91,628,87.14,
PF0166,M024,P0200,5.56,554,11.62,
PF0167,M027,P0136,4.89,20,13.18,Loss
PF0168,M027,P0137,3.31,422,100.00,Loss
PF0169,M027,P0138,6.53,82,23.27,Loss
PF0170,M027,P0139,1.92,113,7.54,Loss
PF0171,M027,P0140,7.48,161,23.30,Loss
PF0172,M027,P0321,5.67,136,25.34,Win
PF0173,M027,P0322,5.97,625,46.45,Win
PF0174,M027,P0323,7.81,0,76.12,Win
PF0175,M027,P0324,3.39,540,70.69,Win
PF0176,M027,P0325,0.00,538,100.00,Win
PF0177,M028,P0321,3.87,42,46.76,Win
PF0178,M028,P0322,0.00,79,79.62,Win
PF0179,M028,P0323,2.16,67,21.08,Win
PF0180,M028,P0324,8.77,247,100.00,Win
PF0181,M028,P0325,4.56,30,74.79,Win
PF0182,M028,P0376,8.06,74,19.14,Loss
PF0183,M028,P0377,2.47,321,100.00,Loss
PF0184,M028,P0378,6.83,8,16.07,Loss
PF0185,M028,P0379,0.12,229,29.26,Loss
PF0186,M028,P0380,5.42,500,59.65,Loss
PF0187,M029,P0376,8.29,399,1.09,Loss
PF0188,M029,P0377,1.63,579,38.33,Loss
PF0189,M029,P0378,4.77,301,37.34,Loss
PF0190,M029,P0379,2.92,144,88.62,Loss
PF0191,M029,P0380,0.00,591,1.54,Loss
PF0192,M029,P0546,8.13,653,43.35,Win
PF0193,M029,P0547,4.52,562,100.00,Win
PF0194,M029,P0548,2.98,285,76.54,Win
PF0195,M029,P0549,8.93,155,54.04,Win
PF0196,M029,P0550,6.46,314,90.78,Win
PF0197,M030,P0546,8.43,122,5.95,Win
PF0198,M030,P0547,2.10,270,88.87,Win
PF0199,M030,P0548,1.90,336,80.80,Win
PF0200,M030,P0549,0.77,28,78.75,Win
PF0201,M030,P0550,0.08,124,14.14,Win
PF0202,M030,P0436,7.53,0,25.33,Loss
PF0203,M030,P0437,0.84,77,88.55,Loss
PF0204,M030,P0438,7.88,36,46.46,Loss
PF0205,M030,P0439,2.92,525,92.30,Loss
PF0206,M030,P0440,0.00,296,34.36,Loss
PF0207,M031,P0436,0.00,188,2.18,Loss
PF0208,M031,P0437,3.94,512,73.76,Loss
PF0209,M031,P0438,2.81,0,42.22,Loss
PF0210,M031,P0439,3.71,471,100.00,Loss
PF0211,M031,P0440,3.53,520,100.00,Loss
PF0212,M031,P0156,0.34,675,80.18,Win
PF0213,M031,P0157,5.02,334,100.00,Win
PF0214,M031,P0158,6.94,673,60.11,Win
PF0215,M031,P0159,6.21,161,2.12,Win
PF0216,M031,P0160,0.00,236,100.00,Win
PF0217,M033,P0301,4.87,639,84.89,
PF0218,M033,P0302,0.02,168,88.38,
PF0219,M033,P0303,2.70,485,69.10,
PF0220,M033,P0304,6.11,450,9.43,
PF0221,M033,P0305,7.42,518,100.00,
PF0222,M033,P0391,4.43,590,28.57,
PF0223,M033,P0392,1.62,121,9.43,
PF0224,M033,P0393,4.80,17,74.66,
PF0225,M033,P0394,1.60,554,25.25,
PF0226,M036,P0581,0.00,0,60.26,Win
PF0227,M036,P0582,0.53,441,31.83,Win
PF0228,M036,P0583,2.54,416,96.33,Win
PF0229,M036,P0584,1.27,621,29.83,Win
PF0230,M036,P0585,4.91,51,22.46,Win
PF0231,M036,P0381,0.00,138,30.03,Loss
PF0232,M036,P0382,0.00,77,57.85,Loss
PF0233,M036,P0383,7.28,481,28.83,Loss
PF0234,M036,P0384,0.60,382,100.00,Loss
PF0235,M036,P0385,7.21,658,75.23,Loss
PF0236,M037,P0381,7.85,0,62.70,Loss
PF0237,M037,P0382,5.13,269,5.90,Loss
PF0238,M037,P0383,5.66,128,70.81,Loss
PF0239,M037,P0384,7.06,82,28.33,Loss
PF0240,M037,P0385,0.00,344,34.37,Loss
PF0241,M037,P0211,7.57,28,100.00,Win
PF0242,M037,P0212,6.95,313,28.70,Win
PF0243,M037,P0213,0.00,279,35.46,Win
PF0244,M037,P0214,1.44,575,0.76,Win
PF0245,M037,P0215,2.26,542,67.71,Win
PF0246,M038,P0212,2.56,448,5.70,Win
PF0247,M038,P0213,0.00,592,62.82,Win
PF0248,M038,P0214,8.44,303,1.38,Win
PF0249,M038,P0215,2.87,673,57.24,Win
PF0250,M038,P0251,8.91,128,46.73,Loss
PF0251,M038,P0252,6.49,686,60.82,Loss
PF0252,M038,P0253,2.74,499,17.86,Loss
PF0253,M038,P0254,2.50,591,73.48,Loss
PF0254,M038,P0255,8.30,325,73.03,Loss
PF0255,M039,P0251,6.24,307,91.72,Loss
PF0256,M039,P0252,7.85,509,35.97,Loss
PF0257,M039,P0253,8.67,61,65.92,Loss
PF0258,M039,P0254,3.49,325,95.80,Loss
PF0259,M039,P0255,0.39,675,78.03,Loss
PF0260,M039,P0486,4.20,254,3.65,Win
PF0261,M039,P0487,3.33,426,37.02,Win
PF0262,M039,P0488,0.36,131,98.52,Win
PF0263,M039,P0489,4.48,497,67.20,Win
PF0264,M039,P0490,6.41,329,15.08,Win
PF0265,M040,P0486,2.14,90,97.31,Win
PF0266,M040,P0487,4.45,677,64.64,Win
PF0267,M040,P0488,2.07,178,9.09,Win
PF0268,M040,P0489,7.02,474,77.42,Win
PF0269,M040,P0490,7.85,312,100.00,Win
PF0270,M040,P0411,0.00,349,67.98,Loss
PF0271,M040,P0412,0.00,274,100.00,Loss
PF0272,M040,P0413,1.33,324,66.69,Loss
PF0273,M040,P0414,3.85,65,100.00,Loss
PF0274,M040,P0415,2.18,414,75.85,Loss
PF0275,M042,P0496,8.02,286,42.53,
PF0276,M042,P0497,6.99,220,59.00,
PF0277,M042,P0498,0.00,514,50.86,
PF0278,M042,P0499,0.48,363,29.00,
PF0279,M042,P0500,0.00,219,91.78,
PF0280,M042,P0511,0.00,677,7.69,
PF0281,M042,P0512,8.88,315,100.00,
PF0282,M042,P0513,0.00,23,11.38,
PF0283,M042,P0514,5.23,149,100.00,
PF0284,M042,P0515,0.00,570,90.67,
PF0285,M045,P0176,0.00,88,63.76,Loss
PF0286,M045,P0177,0.84,610,56.30,Loss
PF0287,M045,P0178,0.00,445,12.41,Loss
PF0288,M045,P0179,7.63,277,100.00,Loss
PF0289,M045,P0180,0.00,389,67.89,Loss
PF0290,M045,P0426,8.24,577,62.58,Win
PF0291,M045,P0427,2.09,301,100.00,Win
PF0292,M045,P0428,6.08,518,99.33,Win
PF0293,M045,P0429,3.40,478,83.62,Win
PF0294,M045,P0430,0.00,0,22.92,Win
PF0295,M046,P0426,4.89,696,3.93,Win
PF0296,M046,P0427,0.47,646,69.67,Win
PF0297,M046,P0428,5.51,413,100.00,Win
PF0298,M046,P0429,7.18,328,43.20,Win
PF0299,M046,P0430,6.02,0,76.57,Win
PF0300,M046,P0266,7.26,0,100.00,Loss
PF0301,M046,P0267,0.00,512,13.36,Loss
PF0302,M046,P0268,8.68,92,52.71,Loss
PF0303,M046,P0269,4.38,485,92.76,Loss
PF0304,M046,P0270,8.56,134,57.68,Loss
PF0305,M047,P0266,0.00,137,80.07,Loss
PF0306,M047,P0267,3.30,676,55.48,Loss
PF0307,M047,P0268,5.56,246,62.23,Loss
PF0308,M047,P0269,1.83,336,100.00,Loss
PF0309,M047,P0270,0.00,0,2.78,Loss
PF0310,M047,P0596,8.65,345,61.01,Win
PF0311,M047,P0597,0.00,393,9.50,Win
PF0312,M047,P0598,1.11,497,54.34,Win
PF0313,M047,P0599,8.96,72,100.00,Win
PF0314,M047,P0600,0.76,159,100.00,Win
PF0315,M048,P0596,1.42,321,94.98,Win
PF0316,M048,P0597,8.64,291,45.01,Win
PF0317,M048,P0598,4.57,166,56.96,Win
PF0318,M048,P0599,6.86,530,28.94,Win
PF0319,M048,P0600,7.11,224,2.87,Win
PF0320,M048,P0281,0.71,55,59.04,Loss
PF0321,M048,P0282,8.57,589,25.03,Loss
PF0322,M048,P0284,0.00,480,98.81,Loss
PF0323,M048,P0285,0.00,505,100.00,Loss
PF0324,M049,P0281,2.54,365,75.07,Loss
PF0325,M049,P0282,8.97,23,46.44,Loss
PF0326,M049,P0283,8.30,0,5.79,Loss
PF0327,M049,P0284,3.60,21,11.37,Loss
PF0328,M049,P0285,5.92,410,100.00,Loss
PF0329,M049,P0401,6.53,57,72.02,Win
PF0330,M049,P0402,2.54,54,26.62,Win
PF0331,M049,P0403,2.01,617,92.22,Win
PF0332,M049,P0404,5.41,0,30.44,Win
PF0333,M049,P0405,4.40,447,19.37,Win
PF0334,M051,P0261,5.74,644,100.00,
PF0335,M051,P0262,0.00,644,52.13,
PF0336,M051,P0263,3.52,165,61.42,
PF0337,M051,P0264,2.16,289,94.32,
PF0338,M051,P0265,1.78,0,51.43,
PF0339,M051,P0421,6.81,250,84.33,
PF0340,M051,P0422,1.12,87,45.79,
PF0341,M051,P0423,1.76,129,31.14,
PF0342,M051,P0424,0.00,388,15.70,
PF0343,M051,P0425,4.50,0,77.19,
PF0344,M054,P0351,0.00,0,98.24,Win
PF0345,M054,P0352,3.19,1,69.07,Win
PF0346,M054,P0353,6.21,677,50.09,Win
PF0347,M054,P0354,2.86,0,38.27,Win
PF0348,M054,P0355,2.51,295,63.83,Win
PF0349,M054,P0116,4.60,242,59.31,Loss
PF0350,M054,P0117,0.00,369,100.00,Loss
PF0351,M054,P0118,0.00,261,49.60,Loss
PF0352,M054,P0119,2.66,665,18.39,Loss
PF0353,M054,P0120,0.00,10,57.19,Loss
PF0354,M055,P0116,8.50,189,40.35,Loss
PF0355,M055,P0117,7.81,318,63.15,Loss
PF0356,M055,P0118,7.35,505,53.69,Loss
PF0357,M055,P0119,0.00,426,11.16,Loss
PF0358,M055,P0120,0.00,584,89.15,Loss
PF0359,M055,P0021,2.46,542,23.90,Win
PF0360,M055,P0022,0.00,546,74.62,Win
PF0361,M055,P0023,0.00,2,88.18,Win
PF0362,M055,P0024,4.57,539,40.79,Win
PF0363,M055,P0025,5.79,597,75.75,Win
PF0364,M056,P0021,8.82,286,24.35,Win
PF0365,M056,P0022,0.20,618,74.65,Win
PF0366,M056,P0023,2.35,0,54.65,Win
PF0367,M056,P0024,7.57,154,100.00,Win
PF0368,M056,P0025,5.85,509,72.91,Win
PF0369,M056,P0451,6.33,644,100.00,Loss
PF0370,M056,P0452,3.11,526,58.46,Loss
PF0371,M056,P0453,6.66,248,92.23,Loss
PF0372,M056,P0454,5.72,376,63.97,Loss
PF0373,M056,P0455,4.25,186,18.23,Loss
PF0374,M057,P0451,0.00,485,74.43,Loss
PF0375,M057,P0452,2.78,618,100.00,Loss
PF0376,M057,P0453,2.28,603,22.76,Loss
PF0377,M057,P0454,4.28,269,5.65,Loss
PF0378,M057,P0455,0.00,325,46.11,Loss
PF0379,M057,P0146,0.23,475,100.00,Win
PF0380,M057,P0147,3.45,664,64.83,Win
PF0381,M057,P0148,7.79,122,0.32,Win
PF0382,M057,P0149,0.85,436,100.00,Win
PF0383,M057,P0150,1.52,391,70.36,Win
PF0384,M058,P0146,5.88,661,34.73,Win
PF0385,M058,P0147,1.88,0,6.57,Win
PF0386,M058,P0148,3.99,634,14.76,Win
PF0387,M058,P0149,0.87,693,14.78,Win
PF0388,M058,P0150,4.55,545,100.00,Win
PF0389,M058,P0491,4.81,226,51.73,Loss
PF0390,M058,P0492,2.97,211,79.21,Loss
PF0391,M058,P0493,0.26,327,19.71,Loss
PF0392,M058,P0494,1.18,1,75.74,Loss
PF0393,M058,P0495,3.29,556,20.85,Loss
PF0394,M060,P0071,8.20,593,39.37,
PF0395,M060,P0072,6.40,564,1.72,
PF0396,M060,P0073,0.00,306,45.58,
PF0397,M060,P0074,3.71,0,86.17,
PF0398,M060,P0075,0.00,262,22.93,
PF0399,M060,P0206,3.94,503,73.34,
PF0400,M060,P0207,3.81,356,84.31,
PF0401,M060,P0208,0.00,451,100.00,
PF0402,M060,P0209,2.67,597,44.32,
PF0403,M060,P0210,1.81,201,90.77,
PF0404,M063,P0356,4.46,164,23.75,Loss
PF0405,M063,P0357,0.66,99,38.58,Loss
PF0406,M063,P0358,6.68,213,97.22,Loss
PF0407,M063,P0359,4.34,73,77.08,Loss
PF0408,M063,P0360,3.56,417,100.00,Loss
PF0409,M063,P0011,2.11,658,89.10,Win
PF0410,M063,P0013,8.71,277,100.00,Win
PF0411,M063,P0014,2.97,12,0.33,Win
PF0412,M063,P0015,0.00,215,37.23,Win
PF0413,M064,P0011,0.00,273,38.54,Win
PF0414,M064,P0012,8.13,192,45.53,Win
PF0415,M064,P0013,2.38,347,71.27,Win
PF0416,M064,P0014,1.76,357,77.41,Win
PF0417,M064,P0015,1.32,640,28.92,Win
PF0418,M064,P0166,5.00,377,100.00,Loss
PF0419,M064,P0168,5.13,512,100.00,Loss
PF0420,M064,P0169,0.00,189,100.00,Loss
PF0421,M064,P0170,0.53,675,100.00,Loss
PF0422,M065,P0166,3.49,281,48.56,Loss
PF0423,M065,P0167,8.36,663,100.00,Loss
PF0424,M065,P0168,0.00,337,100.00,Loss
PF0425,M065,P0169,2.60,459,100.00,Loss
PF0426,M065,P0170,2.17,292,100.00,Loss
PF0427,M065,P0016,1.79,141,40.71,Win
PF0428,M065,P0018,6.19,23,12.01,Win
PF0429,M065,P0019,4.75,61,100.00,Win
PF0430,M065,P0020,0.00,234,2.58,Win
PF0431,M066,P0016,6.53,573,56.40,Win
PF0432,M066,P0017,3.05,116,74.14,Win
PF0433,M066,P0018,7.88,73,69.76,Win
PF0434,M066,P0019,0.00,212,18.20,Win
PF0435,M066,P0020,7.38,95,100.00,Win
PF0436,M066,P0341,5.41,406,100.00,Loss
PF0437,M066,P0342,6.54,534,4.36,Loss
PF0438,M066,P0343,6.25,440,2.01,Loss
PF0439,M066,P0344,1.48,317,72.84,Loss
PF0440,M066,P0345,4.66,28,90.35,Loss
PF0441,M067,P0341,0.00,692,64.25,Loss
PF0442,M067,P0342,5.22,282,77.82,Loss
PF0443,M067,P0343,7.00,695,100.00,Loss
PF0444,M067,P0344,0.00,433,32.92,Loss
PF0445,M067,P0345,0.00,510,54.05,Loss
PF0446,M067,P0516,0.00,5,50.16,Win
PF0447,M067,P0517,4.06,215,95.95,Win
PF0448,M067,P0518,1.20,325,100.00,Win
PF0449,M067,P0519,7.20,603,1.03,Win
PF0450,M067,P0520,6.75,451,67.40,Win
PF0451,M069,P0256,6.31,138,16.48,
PF0452,M069,P0257,5.22,318,30.38,
PF0453,M069,P0258,0.00,184,66.94,
PF0454,M069,P0259,0.43,304,96.30,
PF0455,M069,P0260,3.14,540,8.00,
PF0456,M069,P0526,3.25,472,16.12,
PF0457,M069,P0527,0.00,690,100.00,
PF0458,M069,P0528,3.80,75,100.00,
PF0459,M069,P0529,0.00,368,36.41,
PF0460,M069,P0530,0.00,629,85.44,
PF0461,M072,P0576,3.70,165,100.00,Win
PF0462,M072,P0577,4.91,210,68.83,Win
PF0463,M072,P0578,8.55,498,70.07,Win
PF0464,M072,P0579,1.04,306,66.32,Win
PF0465,M072,P0580,7.04,578,100.00,Win
PF0466,M072,P0291,7.78,0,35.61,Loss
PF0467,M072,P0292,4.23,0,57.36,Loss
PF0468,M072,P0293,5.21,174,4.22,Loss
PF0469,M072,P0294,6.49,111,60.70,Loss
PF0470,M072,P0295,0.18,347,73.57,Loss
PF0471,M073,P0291,8.42,19,67.06,Loss
PF0472,M073,P0292,1.25,390,65.44,Loss
PF0473,M073,P0293,1.57,298,41.30,Loss
PF0474,M073,P0294,5.28,418,74.06,Loss
PF0475,M073,P0295,0.00,478,97.66,Loss
PF0476,M073,P0446,2.27,86,100.00,Win
PF0477,M073,P0447,4.22,232,100.00,Win
PF0478,M073,P0448,7.92,609,18.27,Win
PF0479,M073,P0449,6.23,547,59.40,Win
PF0480,M073,P0450,5.18,13,100.00,Win
PF0481,M074,P0446,8.89,303,38.29,Win
PF0482,M074,P0447,7.90,652,51.15,Win
PF0483,M074,P0448,7.28,466,25.00,Win
PF0484,M074,P0449,5.19,421,55.12,Win
PF0485,M074,P0450,6.34,541,42.73,Win
PF0486,M074,P0141,3.73,615,4.40,Loss
PF0487,M074,P0142,2.10,249,1.84,Loss
PF0488,M074,P0143,0.00,446,100.00,Loss
PF0489,M074,P0144,7.24,569,84.29,Loss
PF0490,M074,P0145,0.00,472,100.00,Loss
PF0491,M075,P0141,2.22,0,35.37,Loss
PF0492,M075,P0142,6.25,84,100.00,Loss
PF0493,M075,P0143,2.67,628,55.43,Loss
PF0494,M075,P0144,8.62,195,51.91,Loss
PF0495,M075,P0145,0.14,231,45.34,Loss
PF0496,M075,P0361,7.43,216,39.00,Win
PF0497,M075,P0362,0.00,93,44.40,Win
PF0498,M075,P0364,3.40,518,74.30,Win
PF0499,M075,P0365,2.09,672,5.95,Win
PF0500,M076,P0361,0.00,23,54.75,Win
PF0501,M076,P0362,1.13,601,99.54,Win
PF0502,M076,P0363,8.34,128,90.56,Win
PF0503,M076,P0364,4.64,321,0.12,Win
PF0504,M076,P0365,0.00,321,97.81,Win
PF0505,M076,P0091,0.86,9,17.57,Loss
PF0506,M076,P0092,3.82,366,67.58,Loss
PF0507,M076,P0093,6.78,144,75.98,Loss
PF0508,M076,P0094,4.06,181,0.49,Loss
PF0509,M076,P0095,5.39,255,13.67,Loss
PF0510,M078,P0031,0.00,0,100.00,
PF0511,M078,P0032,5.54,312,64.59,
PF0512,M078,P0033,4.42,32,57.76,
PF0513,M078,P0034,0.00,620,100.00,
PF0514,M078,P0035,0.00,545,62.06,
PF0515,M078,P0081,2.66,426,87.94,
PF0516,M078,P0082,5.72,506,18.12,
PF0517,M078,P0083,0.00,646,93.83,
PF0518,M078,P0084,0.00,675,100.00,
PF0519,M078,P0085,8.86,632,36.71,
PF0520,M081,P0046,0.00,487,59.00,Loss
PF0521,M081,P0047,0.70,295,91.53,Loss
PF0522,M081,P0048,7.65,0,99.51,Loss
PF0523,M081,P0049,0.14,378,0.79,Loss
PF0524,M081,P0050,0.00,148,37.76,Loss
PF0525,M081,P0591,6.90,407,75.72,Win
PF0526,M081,P0592,0.12,610,5.39,Win
PF0527,M081,P0593,5.87,120,27.27,Win
PF0528,M081,P0594,0.00,394,29.94,Win
PF0529,M081,P0595,5.47,504,8.55,Win
PF0530,M082,P0591,2.26,105,31.69,Win
PF0531,M082,P0592,3.01,146,51.65,Win
PF0532,M082,P0593,3.10,485,100.00,Win
PF0533,M082,P0594,8.59,686,50.84,Win
PF0534,M082,P0595,5.30,628,54.65,Win
PF0535,M082,P0276,7.15,181,93.09,Loss
PF0536,M082,P0277,7.57,141,77.14,Loss
PF0537,M082,P0278,8.96,247,35.46,Loss
PF0538,M082,P0279,0.52,434,11.62,Loss
PF0539,M082,P0280,6.11,620,100.00,Loss
PF0540,M083,P0276,4.33,137,72.77,Loss
PF0541,M083,P0277,6.13,593,31.76,Loss
PF0542,M083,P0278,6.36,352,39.40,Loss
PF0543,M083,P0279,2.52,161,81.94,Loss
PF0544,M083,P0280,5.99,498,1.71,Loss
PF0545,M083,P0286,2.14,129,91.34,Win
PF0546,M083,P0288,3.23,208,9.83,Win
PF0547,M083,P0289,0.00,352,99.06,Win
PF0548,M083,P0290,8.31,0,20.53,Win
PF0549,M084,P0286,1.72,635,4.69,Win
PF0550,M084,P0287,6.19,133,55.78,Win
PF0551,M084,P0288,3.77,677,100.00,Win
PF0552,M084,P0289,4.49,134,50.22,Win
PF0553,M084,P0290,2.52,0,12.54,Win
