Pass_ID,Player_ID,Pass_Tier,Start_Date,Expiry_Date,Pass_Status,Reward_Points
VP0209,P0209,Gold,2025-04-16,2026-04-16,Expired,677
VP0210,P0210,Bronze,2026-04-08,2027-04-08,Active,155
VP0211,P0211,Gold,2026-02-02,2027-02-02,Active,636
VP0212,P0212,Bronze,2026-03-15,2027-03-15,Active,114
VP0213,P0213,Silver,2026-02-16,2027-02-16,Active,428
VP0214,P0214,Silver,2025-04-14,2026-04-14,Expired,440
VP0215,P0215,Gold,2025-06-06,2026-06-06,Expired,681
VP0216,P0216,Bronze,2026-03-14,2027-03-14,Active,115
VP0217,P0217,Silver,2025-08-02,2026-08-02,Cancelled,415
VP0218,P0218,Bronze,2025-10-16,2026-10-16,Active,249
VP0219,P0219,Silver,2025-02-22,2026-02-22,Expired,325
VP0220,P0220,Gold,2025-07-18,2026-07-18,Expired,556
VP0221,P0221,Platinum,2025-09-16,2026-09-16,Expired,1007
VP0222,P0222,Gold,2025-07-28,2026-07-28,Expired,564
VP0223,P0223,Bronze,2025-04-16,2026-04-16,Expired,159
VP0224,P0224,Bronze,2026-02-04,2027-02-04,Active,133
VP0225,P0225,Bronze,2026-03-03,2027-03-03,Active,106
VP0226,P0226,Silver,2025-08-03,2026-08-03,Expired,409
VP0227,P0227,Gold,2025-07-06,2026-07-06,Expired,590
VP0228,P0228,Gold,2025-01-09,2026-01-09,Cancelled,659
VP0229,P0229,Bronze,2026-05-07,2027-05-07,Active,246
VP0230,P0230,Gold,2026-01-11,2027-01-11,Active,634
VP0231,P0231,Bronze,2025-05-09,2026-05-09,Cancelled,133
VP0232,P0232,Diamond,2025-12-01,2026-12-01,Active,1553
VP0233,P0233,Gold,2025-07-08,2026-07-08,Expired,549
VP0234,P0234,Gold,2025-07-07,2026-07-07,Expired,651
VP0235,P0235,Silver,2025-11-05,2026-11-05,Active,284
VP0236,P0236,Gold,2026-04-07,2027-04-07,Cancelled,519
VP0237,P0237,Silver,2025-04-16,2026-04-16,Expired,445
VP0238,P0238,Platinum,2025-12-08,2026-12-08,Active,971
VP0239,P0239,Silver,2025-06-01,2026-06-01,Cancelled,372
VP0240,P0240,Bronze,2025-10-04,2026-10-04,Active,235
VP0241,P0241,Gold,2025-08-03,2026-08-03,Expired,561
VP0242,P0242,Gold,2026-04-02,2027-04-02,Active,600
VP0243,P0243,Bronze,2025-10-10,2026-10-10,Active,198
VP0244,P0244,Bronze,2026-01-31,2027-01-31,Active,260
VP0245,P0245,Bronze,2025-05-08,2026-05-08,Expired,245
VP0246,P0246,Gold,2025-07-13,2026-07-13,Expired,525
VP0247,P0247,Gold,2026-02-08,2027-02-08,Cancelled,691
VP0248,P0248,Bronze,2026-01-06,2027-01-06,Active,100
VP0249,P0249,Silver,2025-08-27,2026-08-27,Cancelled,430
VP0250,P0250,Bronze,2025-10-05,2026-10-05,Active,225
VP0251,P0251,Bronze,2025-05-28,2026-05-28,Expired,286
VP0252,P0252,Silver,2025-06-18,2026-06-18,Expired,373
VP0253,P0253,Gold,2025-02-03,2026-02-03,Cancelled,513
VP0254,P0254,Bronze,2026-05-14,2027-05-14,Active,251
VP0255,P0255,Platinum,2026-01-04,2027-01-04,Active,1018
VP0256,P0256,Gold,2025-12-24,2026-12-24,Active,537
VP0257,P0257,Bronze,2025-08-19,2026-08-19,Expired,293
VP0258,P0258,Gold,2025-02-26,2026-02-26,Expired,528
VP0259,P0259,Silver,2025-09-23,2026-09-23,Active,433
VP0260,P0260,Bronze,2026-04-03,2027-04-03,Active,283
VP0261,P0261,Diamond,2025-04-28,2026-04-28,Expired,1599
VP0262,P0262,Silver,2026-01-03,2027-01-03,Active,333
VP0263,P0263,Gold,2025-10-19,2026-10-19,Active,639
VP0264,P0264,Silver,2025-11-19,2026-11-19,Active,390
VP0265,P0265,Bronze,2025-04-23,2026-04-23,Expired,283
VP0266,P0266,Silver,2026-02-05,2027-02-05,Active,412
VP0267,P0267,Silver,2025-11-17,2026-11-17,Active,262
VP0268,P0268,Silver,2025-04-30,2026-04-30,Expired,259
VP0269,P0269,Silver,2025-07-19,2026-07-19,Cancelled,426
VP0270,P0270,Gold,2025-02-21,2026-02-21,Cancelled,500
VP0271,P0271,Bronze,2025-12-26,2026-12-26,Active,183
VP0272,P0272,Platinum,2025-06-17,2026-06-17,Expired,1045
VP0273,P0273,Silver,2026-01-11,2027-01-11,Active,393
VP0274,P0274,Gold,2025-12-06,2026-12-06,Active,552
VP0275,P0275,Silver,2026-04-10,2027-04-10,Active,380
VP0276,P0276,Silver,2025-01-12,2026-01-12,Expired,255
VP0277,P0277,Silver,2025-09-05,2026-09-05,Cancelled,317
VP0278,P0278,Silver,2026-01-22,2027-01-22,Active,295
VP0279,P0279,Silver,2025-11-05,2026-11-05,Cancelled,320
VP0280,P0280,Bronze,2025-05-02,2026-05-02,Cancelled,243
VP0281,P0281,Gold,2025-02-19,2026-02-19,Cancelled,542
VP0282,P0282,Gold,2026-05-14,2027-05-14,Active,609
VP0283,P0283,Bronze,2025-01-27,2026-01-27,Expired,238
VP0284,P0284,Gold,2025-06-02,2026-06-02,Cancelled,562
VP0285,P0285,Gold,2025-06-02,2026-06-02,Expired,675
VP0286,P0286,Bronze,2026-04-07,2027-04-07,Active,129
VP0287,P0287,Gold,2026-03-20,2027-03-20,Active,507
VP0288,P0288,Bronze,2025-09-06,2026-09-06,Expired,234
VP0289,P0289,Platinum,2025-09-15,2026-09-15,Cancelled,1097
VP0290,P0290,Diamond,2025-05-04,2026-05-04,Cancelled,1529
VP0291,P0291,Gold,2026-02-21,2027-02-21,Active,666
VP0292,P0292,Bronze,2026-03-08,2027-03-08,Active,238
VP0293,P0293,Silver,2026-04-01,2027-04-01,Active,356
VP0294,P0294,Silver,2025-05-12,2026-05-12,Expired,328
VP0295,P0295,Gold,2025-01-11,2026-01-11,Expired,639
VP0296,P0296,Bronze,2025-01-03,2026-01-03,Expired,289
VP0297,P0297,Silver,2025-07-24,2026-07-24,Expired,373
VP0298,P0298,Bronze,2025-03-18,2026-03-18,Expired,235
VP0299,P0299,Bronze,2025-02-06,2026-02-06,Expired,245
VP0300,P0300,Bronze,2026-01-25,2027-01-25,Active,234
VP0301,P0301,Bronze,2025-07-09,2026-07-09,Expired,159
VP0302,P0302,Silver,2025-03-04,2026-03-04,Expired,253
VP0303,P0303,Silver,2025-03-29,2026-03-29,Expired,422
VP0304,P0304,Gold,2025-12-22,2026-12-22,Cancelled,620
VP0305,P0305,Silver,2026-03-01,2027-03-01,Active,371
VP0306,P0306,Platinum,2026-01-08,2027-01-08,Active,1088
VP0307,P0307,Silver,2025-10-03,2026-10-03,Active,362
VP0308,P0308,Silver,2025-12-06,2026-12-06,Active,426
VP0309,P0309,Silver,2025-06-10,2026-06-10,Expired,434
VP0310,P0310,Gold,2025-03-25,2026-03-25,Expired,621
VP0311,P0311,Bronze,2025-03-10,2026-03-10,Cancelled,144
VP0312,P0312,Silver,2025-11-28,2026-11-28,Cancelled,408
VP0313,P0313,Bronze,2025-06-08,2026-06-08,Expired,278
VP0314,P0314,Silver,2025-08-05,2026-08-05,Expired,370
VP0315,P0315,Bronze,2025-08-23,2026-08-23,Expired,139
VP0316,P0316,Silver,2025-06-21,2026-06-21,Cancelled,368
VP0317,P0317,Bronze,2025-06-20,2026-06-20,Expired,145
VP0318,P0318,Bronze,2025-09-23,2026-09-23,Active,170
VP0319,P0319,Diamond,2026-02-03,2027-02-03,Active,1663
VP0320,P0320,Bronze,2025-09-18,2026-09-18,Cancelled,229
VP0321,P0321,Bronze,2025-06-28,2026-06-28,Cancelled,126
VP0322,P0322,Gold,2025-01-12,2026-01-12,Expired,521
VP0323,P0323,Platinum,2025-05-15,2026-05-15,Expired,948
VP0324,P0324,Silver,2026-04-30,2027-04-30,Active,256
VP0325,P0325,Gold,2025-02-17,2026-02-17,Expired,672
VP0326,P0326,Gold,2026-03-05,2027-03-05,Active,620
VP0327,P0327,Bronze,2025-06-19,2026-06-19,Cancelled,102
VP0328,P0328,Gold,2025-04-12,2026-04-12,Cancelled,592
VP0329,P0329,Bronze,2025-10-28,2026-10-28,Active,286
VP0330,P0330,Silver,2025-03-09,2026-03-09,Expired,392
VP0331,P0331,Bronze,2025-12-07,2026-12-07,Active,239
VP0332,P0332,Silver,2025-05-10,2026-05-10,Expired,272
VP0333,P0333,Gold,2025-11-13,2026-11-13,Active,559
VP0334,P0334,Bronze,2025-04-20,2026-04-20,Expired,273
VP0335,P0335,Silver,2025-05-05,2026-05-05,Expired,269
VP0336,P0336,Silver,2026-04-08,2027-04-08,Active,436
VP0337,P0337,Gold,2026-03-31,2027-03-31,Active,576
VP0338,P0338,Silver,2025-07-21,2026-07-21,Expired,267
VP0339,P0339,Gold,2025-09-28,2026-09-28,Active,622
VP0340,P0340,Platinum,2025-02-17,2026-02-17,Expired,1015
VP0341,P0341,Bronze,2025-12-25,2026-12-25,Active,152
VP0342,P0342,Gold,2025-10-18,2026-10-18,Active,530
VP0343,P0343,Silver,2025-03-02,2026-03-02,Expired,436
VP0344,P0344,Gold,2026-04-28,2027-04-28,Active,646
VP0345,P0345,Bronze,2025-10-02,2026-10-02,Active,206
VP0346,P0346,Silver,2025-04-04,2026-04-04,Cancelled,266
VP0347,P0347,Silver,2025-05-02,2026-05-02,Cancelled,311
VP0348,P0348,Diamond,2025-08-02,2026-08-02,Cancelled,1604
VP0349,P0349,Gold,2026-01-17,2027-01-17,Active,538
VP0350,P0350,Bronze,2025-09-15,2026-09-15,Cancelled,146
VP0351,P0351,Silver,2025-02-19,2026-02-19,Expired,291
VP0352,P0352,Bronze,2025-06-03,2026-06-03,Cancelled,206
VP0353,P0353,Silver,2025-02-28,2026-02-28,Expired,359
VP0354,P0354,Silver,2025-01-30,2026-01-30,Expired,333
VP0355,P0355,Gold,2025-10-10,2026-10-10,Active,699
VP0356,P0356,Silver,2026-02-04,2027-02-04,Cancelled,272
VP0357,P0357,Platinum,2025-02-16,2026-02-16,Expired,946
VP0358,P0358,Silver,2026-05-06,2027-05-06,Active,298
VP0359,P0359,Bronze,2025-05-01,2026-05-01,Expired,138
VP0360,P0360,Silver,2026-04-13,2027-04-13,Active,267
VP0361,P0361,Gold,2025-12-10,2026-12-10,Active,644
VP0362,P0362,Gold,2026-03-03,2027-03-03,Active,507
VP0363,P0363,Silver,2025-08-24,2026-08-24,Expired,362
VP0364,P0364,Silver,2026-02-15,2027-02-15,Cancelled,367
VP0365,P0365,Gold,2025-01-28,2026-01-28,Expired,536
VP0366,P0366,Silver,2025-11-30,2026-11-30,Active,329
VP0367,P0367,Silver,2025-06-23,2026-06-23,Expired,415
VP0368,P0368,Silver,2025-09-30,2026-09-30,Active,416
VP0369,P0369,Silver,2025-07-10,2026-07-10,Expired,275
VP0370,P0370,Bronze,2025-04-06,2026-04-06,Cancelled,215
VP0371,P0371,Gold,2025-05-31,2026-05-31,Expired,694
VP0372,P0372,Bronze,2026-04-27,2027-04-27,Active,114
VP0373,P0373,Bronze,2025-01-09,2026-01-09,Expired,223
VP0374,P0374,Platinum,2025-12-12,2026-12-12,Active,996
VP0375,P0375,Bronze,2025-01-15,2026-01-15,Expired,167
VP0376,P0376,Silver,2026-01-22,2027-01-22,Active,424
VP0377,P0377,Diamond,2025-04-02,2026-04-02,Expired,1645
VP0378,P0378,Silver,2025-01-03,2026-01-03,Expired,445
VP0379,P0379,Gold,2026-02-21,2027-02-21,Active,576
VP0380,P0380,Gold,2025-01-05,2026-01-05,Cancelled,688
VP0381,P0381,Gold,2025-10-14,2026-10-14,Active,658
VP0382,P0382,Bronze,2026-04-18,2027-04-18,Active,254
VP0383,P0383,Silver,2025-11-23,2026-11-23,Active,259
VP0384,P0384,Silver,2025-08-31,2026-08-31,Expired,327
VP0385,P0385,Bronze,2025-12-16,2026-12-16,Cancelled,290
VP0386,P0386,Gold,2025-12-22,2026-12-22,Active,602
VP0387,P0387,Silver,2025-08-29,2026-08-29,Expired,253
VP0388,P0388,Gold,2025-04-07,2026-04-07,Expired,695
VP0389,P0389,Silver,2025-04-23,2026-04-23,Expired,305
VP0390,P0390,Silver,2025-08-13,2026-08-13,Expired,443
VP0391,P0391,Platinum,2025-02-28,2026-02-28,Expired,1046
VP0392,P0392,Silver,2025-12-19,2026-12-19,Active,307
VP0393,P0393,Gold,2025-12-14,2026-12-14,Active,575
VP0394,P0394,Bronze,2025-01-08,2026-01-08,Expired,201
VP0395,P0395,Gold,2025-10-04,2026-10-04,Active,567
VP0396,P0396,Gold,2025-07-01,2026-07-01,Expired,636
VP0397,P0397,Gold,2025-09-26,2026-09-26,Active,641
VP0398,P0398,Gold,2025-01-24,2026-01-24,Cancelled,549
VP0399,P0399,Gold,2025-02-11,2026-02-11,Cancelled,643
VP0400,P0400,Bronze,2025-10-15,2026-10-15,Active,156
VP0401,P0401,Silver,2025-07-29,2026-07-29,Cancelled,403
VP0402,P0402,Silver,2025-02-09,2026-02-09,Cancelled,374
VP0403,P0403,Silver,2025-12-14,2026-12-14,Active,320
VP0404,P0404,Bronze,2025-07-02,2026-07-02,Expired,153
VP0405,P0405,Bronze,2025-01-27,2026-01-27,Cancelled,132
VP0406,P0406,Diamond,2025-04-15,2026-04-15,Expired,1581
VP0407,P0407,Gold,2025-08-09,2026-08-09,Expired,698
VP0408,P0408,Platinum,2026-03-11,2027-03-11,Cancelled,974
VP0409,P0409,Bronze,2025-04-18,2026-04-18,Expired,279
VP0410,P0410,Silver,2026-01-05,2027-01-05,Active,350
VP0411,P0411,Gold,2025-06-05,2026-06-05,Expired,614
VP0412,P0412,Bronze,2025-01-11,2026-01-11,Cancelled,151
VP0413,P0413,Gold,2025-12-10,2026-12-10,Active,669
VP0414,P0414,Silver,2025-10-19,2026-10-19,Active,340
VP0415,P0415,Silver,2025-09-15,2026-09-15,Cancelled,257
