Violation_ID,Perf_ID,Cheat_Type,Flag_Confidence_Pct,Action_Taken,Logged_Time
V0219,PF0988,Aimbot,92.36,Permanent Ban,2025-03-29 17:39:00
V0220,PF0991,Wallhack,72.72,Warning,2025-03-29 20:40:00
V0221,PF0995,Wallhack,61.05,Under Review,2025-03-29 23:41:00
V0222,PF1002,Wallhack,82.94,Temp Ban,2025-03-30 02:42:00
V0223,PF1009,Wallhack,66.43,Under Review,2025-03-30 05:43:00
V0224,PF1013,TriggerBot,56.64,None,2025-03-30 08:44:00
V0225,PF1016,Aimbot,73.72,Warning,2025-03-30 11:45:00
V0226,PF1023,Wallhack,83.00,Temp Ban,2025-03-30 14:46:00
V0227,PF1024,Wallhack,63.89,None,2025-03-30 17:47:00
V0228,PF1030,SpeedHack,60.07,Under Review,2025-03-30 20:48:00
V0229,PF1035,Wallhack,88.10,Temp Ban,2025-03-30 23:49:00
V0230,PF1037,Wallhack,57.71,None,2025-03-31 02:50:00
V0231,PF1044,Wallhack,70.93,Warning,2025-03-31 05:51:00
V0232,PF1046,TriggerBot,61.60,Under Review,2025-03-31 08:52:00
V0233,PF1051,Aimbot,83.35,Temp Ban,2025-03-31 11:53:00
V0234,PF1057,Wallhack,76.23,Warning,2025-03-31 14:54:00
V0235,PF1058,TriggerBot,92.30,Permanent Ban,2025-03-31 17:55:00
V0236,PF1065,Wallhack,64.71,None,2025-03-31 20:56:00
V0237,PF1068,Wallhack,92.65,Permanent Ban,2025-03-31 23:57:00
V0238,PF1072,Wallhack,81.14,Temp Ban,2025-04-01 02:58:00
V0239,PF1079,TriggerBot,94.74,Permanent Ban,2025-04-01 05:59:00
V0240,PF1086,Aimbot,69.90,Under Review,2025-04-01 08:00:00
V0241,PF1090,TriggerBot,77.93,Warning,2025-04-01 11:01:00
V0242,PF1093,Wallhack,80.42,Temp Ban,2025-04-01 14:02:00
V0243,PF1100,TriggerBot,58.28,Under Review,2025-04-01 17:03:00
V0244,PF1101,Aimbot,72.24,Warning,2025-04-01 20:04:00
V0245,PF1107,Aimbot,57.72,Under Review,2025-04-01 23:05:00
V0246,PF1112,Wallhack,85.79,Temp Ban,2025-04-02 02:06:00
V0247,PF1114,SpeedHack,88.67,Temp Ban,2025-04-02 05:07:00
V0248,PF1121,Other,71.90,Warning,2025-04-02 08:08:00
V0249,PF1123,Aimbot,65.31,None,2025-04-02 11:09:00
V0250,PF1128,Aimbot,59.06,Under Review,2025-04-02 14:10:00
V0251,PF1134,TriggerBot,90.52,Temp Ban,2025-04-02 17:11:00
V0252,PF1135,TriggerBot,82.35,Temp Ban,2025-04-02 20:12:00
V0253,PF1142,Wallhack,64.28,Under Review,2025-04-02 23:13:00
V0254,PF1145,Wallhack,83.96,Temp Ban,2025-04-03 02:14:00
V0255,PF1149,Wallhack,67.72,None,2025-04-03 05:15:00
V0256,PF1156,Aimbot,61.88,Under Review,2025-04-03 08:16:00
V0257,PF1163,TriggerBot,60.70,None,2025-04-03 11:17:00
V0258,PF1167,Aimbot,77.22,Warning,2025-04-03 14:18:00
V0259,PF1170,Aimbot,77.21,Warning,2025-04-03 17:19:00
V0260,PF1177,Aimbot,93.68,Permanent Ban,2025-04-03 20:20:00
V0261,PF1178,Aimbot,86.44,Temp Ban,2025-04-03 23:21:00
V0262,PF1184,Wallhack,55.93,Under Review,2025-04-04 02:22:00
V0263,PF1189,TriggerBot,84.61,Temp Ban,2025-04-04 05:23:00
V0264,PF1191,Aimbot,85.95,Temp Ban,2025-04-04 08:24:00
V0265,PF1198,Aimbot,65.69,None,2025-04-04 11:25:00
V0266,PF1200,SpeedHack,64.05,Under Review,2025-04-04 14:26:00
V0267,PF1205,Aimbot,62.67,Under Review,2025-04-04 17:27:00
V0268,PF1211,Wallhack,80.52,Temp Ban,2025-04-04 20:28:00
V0269,PF1212,Wallhack,77.01,Warning,2025-04-04 23:29:00
V0270,PF1219,Wallhack,63.67,Under Review,2025-04-05 02:30:00
V0271,PF1222,Aimbot,64.28,None,2025-04-05 05:31:00
V0272,PF1226,Wallhack,78.35,Warning,2025-04-05 08:32:00
V0273,PF1233,Wallhack,86.50,Temp Ban,2025-04-05 11:33:00
V0274,PF1240,Wallhack,94.96,Permanent Ban,2025-04-05 14:34:00
V0275,PF1244,Wallhack,85.83,Temp Ban,2025-04-05 17:35:00
V0276,PF1247,Wallhack,57.95,None,2025-04-05 20:36:00
V0277,PF1254,TriggerBot,66.65,Under Review,2025-04-05 23:37:00
V0278,PF1255,Wallhack,62.42,None,2025-04-06 02:38:00
V0279,PF1261,Other,57.21,Under Review,2025-04-06 05:39:00
V0280,PF1266,Wallhack,66.78,None,2025-04-06 08:40:00
V0281,PF1268,Aimbot,55.22,Under Review,2025-04-06 11:41:00
V0282,PF1275,TriggerBot,66.36,None,2025-04-06 14:42:00
V0283,PF1277,Aimbot,72.99,Warning,2025-04-06 17:43:00
V0284,PF1282,TriggerBot,80.84,Temp Ban,2025-04-06 20:44:00
V0285,PF1288,SpeedHack,61.14,Under Review,2025-04-06 23:45:00
V0286,PF1289,Aimbot,78.49,Warning,2025-04-07 02:46:00
V0287,PF1296,Aimbot,55.25,None,2025-04-07 05:47:00
V0288,PF1299,Aimbot,67.76,Under Review,2025-04-07 08:48:00
V0289,PF1303,Aimbot,84.10,Temp Ban,2025-04-07 11:49:00
