Payout_ID,Entry_ID,Placement_Rank,Prize_Amount,Tax_Deducted
PO0284,E0537,7,13236.35,1323.64
PO0285,E0538,8,16297.91,1629.79
PO0286,E0539,9,13546.86,1354.69
PO0287,E0540,10,13349.08,1334.91
PO0288,E0541,6,10041.85,1004.19
PO0289,E0542,7,29234.24,2923.42
PO0290,E0543,8,20094.95,2009.50
PO0291,E0545,10,11905.56,1190.56
PO0292,E0546,1,28183.14,2818.31
PO0293,E0547,2,9925.07,992.51
PO0294,E0548,3,10956.60,1095.66
PO0295,E0549,4,36519.23,3651.92
PO0296,E0550,5,206.93,20.69
PO0297,E0551,1,11139.58,1113.96
PO0298,E0552,2,10199.04,1019.90
PO0299,E0553,3,45463.54,4546.35
PO0300,E0555,5,26619.20,2661.92
PO0301,E0556,6,21994.39,2199.44
PO0302,E0557,7,32034.84,3203.48
PO0303,E0558,8,25729.72,2572.97
PO0304,E0559,9,5845.11,584.51
PO0305,E0560,10,16638.13,1663.81
PO0306,E0561,6,30089.87,3008.99
PO0307,E0562,7,21343.84,2134.38
PO0308,E0563,8,2974.69,297.47
PO0309,E0564,9,19834.37,1983.44
PO0310,E0566,1,40586.60,4058.66
PO0311,E0567,2,37817.01,3781.70
PO0312,E0568,3,36015.40,3601.54
PO0313,E0569,4,41949.27,4194.93
PO0314,E0570,5,11905.32,1190.53
PO0315,E0571,1,46801.17,4680.12
PO0316,E0572,2,39403.53,3940.35
PO0317,E0573,3,16192.65,1619.27
PO0318,E0574,4,10925.70,1092.57
PO0319,E0575,5,14288.05,1428.81
PO0320,E0576,6,32601.70,3260.17
PO0321,E0577,7,14184.70,1418.47
PO0322,E0578,8,14457.45,1445.75
PO0323,E0579,9,16750.63,1675.06
PO0324,E0580,10,5625.94,562.59
PO0325,E0621,6,12457.31,1245.73
PO0326,E0622,7,16276.83,1627.68
PO0327,E0623,8,15749.93,1574.99
PO0328,E0624,9,16513.15,1651.32
PO0329,E0625,10,7494.88,749.49
PO0330,E0626,1,20013.68,2001.37
PO0331,E0628,3,40814.42,4081.44
PO0332,E0629,4,26769.29,2676.93
PO0333,E0630,5,34507.14,3450.71
PO0334,E0631,1,9990.03,999.00
PO0335,E0632,2,44232.40,4423.24
PO0336,E0633,3,39276.65,3927.67
PO0337,E0634,4,42744.15,4274.41
PO0338,E0635,5,31709.04,3170.90
PO0339,E0636,6,26929.15,2692.92
PO0340,E0638,8,15102.13,1510.21
PO0341,E0639,9,22951.11,2295.11
PO0342,E0640,10,6227.08,622.71
PO0343,E0641,6,883.45,88.35
PO0344,E0642,7,4192.56,419.26
PO0345,E0643,8,8031.55,803.16
PO0346,E0644,9,4571.67,457.17
PO0347,E0645,10,9125.57,912.56
PO0348,E0646,1,48722.05,4872.21
PO0349,E0648,3,19770.54,1977.05
PO0350,E0649,4,18446.10,1844.61
PO0351,E0650,5,12500.88,1250.09
PO0352,E0651,1,56463.55,5646.36
PO0353,E0652,2,53485.88,5348.59
PO0354,E0653,3,2067.20,206.72
PO0355,E0654,4,8217.42,821.74
PO0356,E0655,5,36043.15,3604.32
PO0357,E0656,6,16075.75,1607.58
PO0358,E0657,7,27500.73,2750.07
PO0359,E0658,8,12163.79,1216.38
PO0360,E0659,9,13300.56,1330.06
PO0361,E0660,10,20053.27,2005.33
PO0362,E0661,6,28365.13,2836.51
PO0363,E0662,7,20490.50,2049.05
PO0364,E0663,8,18307.89,1830.79
PO0365,E0664,9,17286.81,1728.68
PO0366,E0665,10,11776.41,1177.64
PO0367,E0666,1,20981.42,2098.14
PO0368,E0667,2,724.20,72.42
PO0369,E0668,3,36626.35,3662.64
PO0370,E0669,4,12939.96,1294.00
PO0371,E0670,5,33890.31,3389.03
PO0372,E0711,1,53839.35,5383.94
PO0373,E0712,2,34535.68,3453.57
PO0374,E0713,3,34553.35,3455.34
PO0375,E0714,4,8434.39,843.44
PO0376,E0715,5,5445.35,544.54
PO0377,E0716,6,35225.06,3522.51
PO0378,E0717,7,19155.88,1915.59
PO0379,E0718,8,14674.11,1467.41
PO0380,E0719,9,5555.54,555.55
PO0381,E0720,10,8521.13,852.11
PO0382,E0721,6,11676.95,1167.70
PO0383,E0722,7,1111.94,111.19
PO0384,E0723,8,524.79,52.48
PO0385,E0724,9,25270.80,2527.08
PO0386,E0725,10,19026.03,1902.60
PO0387,E0726,1,6431.31,643.13
PO0388,E0728,3,32960.53,3296.05
PO0389,E0729,4,31976.50,3197.65
PO0390,E0730,5,20603.90,2060.39
PO0391,E0732,2,21128.26,2112.83
PO0392,E0733,3,13137.61,1313.76
PO0393,E0734,4,21725.10,2172.51
PO0394,E0735,5,18675.19,1867.52
PO0395,E0736,6,24508.69,2450.87
PO0396,E0737,7,17230.85,1723.09
PO0397,E0738,8,13124.28,1312.43
PO0398,E0739,9,22606.54,2260.65
PO0399,E0740,10,20489.81,2048.98
PO0400,E0741,6,36711.85,3671.18
PO0401,E0742,7,14712.79,1471.28
PO0402,E0743,8,5147.14,514.71
PO0403,E0744,9,10039.87,1003.99
PO0404,E0745,10,380.26,38.03
PO0405,E0746,1,56516.40,5651.64
PO0406,E0747,2,46037.24,4603.72
PO0407,E0749,4,27637.01,2763.70
PO0408,E0750,5,9144.06,914.41
PO0409,E0751,1,43150.61,4315.06
PO0410,E0752,2,27212.91,2721.29
PO0411,E0753,3,924.90,92.49
PO0412,E0754,4,13700.30,1370.03
PO0413,E0755,5,38434.83,3843.48
PO0414,E0756,6,12625.80,1262.58
PO0415,E0757,7,32682.66,3268.27
PO0416,E0758,8,231.63,23.16
PO0417,E0759,9,23096.18,2309.62
PO0418,E0760,10,3139.32,313.93
PO0419,E0801,6,34558.46,3455.85
PO0420,E0802,7,30555.71,3055.57
PO0421,E0803,8,28822.53,2882.25
PO0422,E0804,9,16462.19,1646.22
PO0423,E0805,10,10799.02,1079.90
PO0424,E0806,1,30563.23,3056.32
PO0425,E0807,2,51183.24,5118.32
PO0426,E0809,4,31680.46,3168.05
PO0427,E0810,5,1050.14,105.01
PO0428,E0811,1,48925.89,4892.59
PO0429,E0812,2,24118.72,2411.87
PO0430,E0813,3,46595.70,4659.57
PO0431,E0814,4,26771.43,2677.14
PO0432,E0815,5,30796.41,3079.64
PO0433,E0816,6,3703.84,370.38
PO0434,E0817,7,29072.56,2907.26
PO0435,E0818,8,8403.51,840.35
PO0436,E0819,9,13099.23,1309.92
PO0437,E0820,10,19354.98,1935.50
PO0438,E0821,6,8120.89,812.09
PO0439,E0822,7,3050.44,305.04
PO0440,E0823,8,24736.52,2473.65
PO0441,E0824,9,16330.00,1633.00
PO0442,E0825,10,16981.80,1698.18
PO0443,E0826,1,9259.79,925.98
PO0444,E0828,3,32807.38,3280.74
PO0445,E0829,4,31167.46,3116.75
PO0446,E0830,5,14828.17,1482.82
PO0447,E0831,1,32568.62,3256.86
PO0448,E0832,2,17648.23,1764.82
PO0449,E0833,3,25135.51,2513.55
PO0450,E0834,4,14048.23,1404.82
PO0451,E0835,5,10931.91,1093.19
PO0452,E0836,6,8751.79,875.18
PO0453,E0837,7,31156.26,3115.63
PO0454,E0838,8,4372.84,437.28
PO0455,E0839,9,12265.49,1226.55
PO0456,E0840,10,19303.60,1930.36
PO0457,E0841,6,4596.50,459.65
PO0458,E0842,7,19076.32,1907.63
PO0459,E0844,9,17698.26,1769.83
PO0460,E0845,10,10647.83,1064.78
PO0461,E0846,1,19740.20,1974.02
PO0462,E0847,2,2468.66,246.87
PO0463,E0848,3,7754.59,775.46
PO0464,E0849,4,100.00,10.00
PO0465,E0850,5,38873.47,3887.35
PO0466,E0891,1,34625.07,3462.51
PO0467,E0892,2,19827.89,1982.79
PO0468,E0893,3,22780.08,2278.01
PO0469,E0894,4,23650.06,2365.01
PO0470,E0895,5,35867.74,3586.77
PO0471,E0896,6,24083.47,2408.35
PO0472,E0897,7,29313.02,2931.30
PO0473,E0898,8,22343.40,2234.34
PO0474,E0899,9,4365.74,436.57
PO0475,E0900,10,8173.48,817.35
PO0476,E0901,6,6658.35,665.84
PO0477,E0902,7,30959.17,3095.92
PO0478,E0903,8,11765.41,1176.54
PO0479,E0905,10,18906.05,1890.61
PO0480,E0906,1,50536.50,5053.65
PO0481,E0907,2,43388.10,4338.81
PO0482,E0908,3,23600.47,2360.05
PO0483,E0909,4,40660.24,4066.02
PO0484,E0911,1,41364.33,4136.43
PO0485,E0912,2,40238.63,4023.86
PO0486,E0913,3,20699.58,2069.96
PO0487,E0914,4,23239.39,2323.94
PO0488,E0915,5,29035.95,2903.60
PO0489,E0916,6,5479.68,547.97
PO0490,E0917,7,10781.28,1078.13
PO0491,E0918,8,12019.81,1201.98
PO0492,E0919,9,11927.78,1192.78
PO0493,E0920,10,13349.65,1334.97
PO0494,E0921,6,2939.26,293.93
PO0495,E0922,7,28645.51,2864.55
PO0496,E0923,8,8291.08,829.11
PO0497,E0924,9,9771.85,977.19
PO0498,E0926,1,39379.10,3937.91
PO0499,E0927,2,26013.56,2601.36
PO0500,E0928,3,17049.12,1704.91
PO0501,E0929,4,38289.18,3828.92
PO0502,E0930,5,7652.77,765.28
PO0503,E0931,1,39781.93,3978.19
PO0504,E0932,2,13284.66,1328.47
PO0505,E0933,3,29540.86,2954.09
PO0506,E0934,4,8385.11,838.51
PO0507,E0935,5,31228.80,3122.88
PO0508,E0936,6,3984.86,398.49
PO0509,E0937,7,2445.62,244.56
PO0510,E0938,8,9522.33,952.23
PO0511,E0939,9,25271.49,2527.15
PO0512,E0940,10,4245.47,424.55
PO0513,E0981,6,13434.46,1343.45
PO0514,E0982,7,13046.98,1304.70
PO0515,E0983,8,16710.95,1671.10
PO0516,E0984,9,22413.57,2241.36
PO0517,E0986,1,25994.74,2599.47
PO0518,E0987,2,33221.01,3322.10
PO0519,E0988,3,25489.43,2548.94
PO0520,E0990,5,18020.07,1802.01
PO0521,E0991,1,34966.57,3496.66
PO0522,E0992,2,49970.83,4997.08
PO0523,E0993,3,20648.92,2064.89
PO0524,E0994,4,6170.70,617.07
PO0525,E0995,5,36479.80,3647.98
PO0526,E0996,6,25566.19,2556.62
PO0527,E0997,7,19056.82,1905.68
PO0528,E0998,8,25141.37,2514.14
PO0529,E0999,9,24049.33,2404.93
PO0530,E1000,10,7786.32,778.63
PO0531,E1001,6,2138.93,213.89
PO0532,E1003,8,16420.76,1642.08
PO0533,E1004,9,17594.00,1759.40
PO0534,E1005,10,15841.21,1584.12
PO0535,E1006,1,22016.82,2201.68
PO0536,E1007,2,26342.26,2634.23
PO0537,E1008,3,2296.61,229.66
PO0538,E1009,4,13141.50,1314.15
PO0539,E1011,1,49324.68,4932.47
PO0540,E1012,2,38811.72,3881.17
PO0541,E1013,3,43880.01,4388.00
PO0542,E1014,4,15587.19,1558.72
PO0543,E1015,5,13253.72,1325.37
PO0544,E1017,7,31759.70,3175.97
PO0545,E1018,8,7361.05,736.11
PO0546,E1019,9,15155.39,1515.54
PO0547,E1020,10,7943.62,794.36
PO0548,E1021,6,30547.78,3054.78
PO0549,E1022,7,9658.99,965.90
PO0550,E1023,8,17722.76,1772.28
PO0551,E1024,9,7214.47,721.45
PO0552,E1025,10,20836.61,2083.66
PO0553,E1026,1,46143.58,4614.36
PO0554,E1027,2,24355.08,2435.51
PO0555,E1028,3,2475.22,247.52
PO0556,E1029,4,15282.08,1528.21
PO0557,E1030,5,14266.38,1426.64
PO0558,E1071,1,30779.99,3078.00
PO0559,E1073,3,45419.00,4541.90
PO0560,E1074,4,19385.10,1938.51
PO0561,E1075,5,30785.00,3078.50
PO0562,E1076,6,30719.19,3071.92
PO0563,E1077,7,30386.49,3038.65
PO0564,E1079,9,4610.96,461.10
PO0565,E1080,10,20858.40,2085.84
PO0566,E1081,6,23089.57,2308.96
PO0567,E1082,7,25344.00,2534.40
PO0568,E1083,8,9059.69,905.97
PO0569,E1084,9,2422.56,242.26
PO0570,E1085,10,12096.42,1209.64
PO0571,E1086,1,13756.83,1375.68
PO0572,E1087,2,24232.27,2423.23
PO0573,E1088,3,12828.91,1282.89
PO0574,E1089,4,36916.13,3691.61
PO0575,E1090,5,29954.93,2995.49
PO0576,E1091,1,11208.42,1120.84
PO0577,E1092,2,52920.71,5292.07
PO0578,E1093,3,28509.96,2851.00
PO0579,E1094,4,41912.21,4191.22
PO0580,E1095,5,34482.13,3448.21
PO0581,E1096,6,12002.68,1200.27
PO0582,E1097,7,22875.55,2287.55
PO0583,E1099,9,20923.97,2092.40
PO0584,E1100,10,20519.75,2051.97
PO0585,E1101,6,35359.42,3535.94
PO0586,E1103,8,8841.75,884.18
PO0587,E1104,9,13747.37,1374.74
PO0588,E1105,10,13012.63,1301.26
PO0589,E1107,2,32938.03,3293.80
PO0590,E1108,3,1599.49,159.95
PO0591,E1110,5,26188.62,2618.86
PO0592,E1111,1,42461.06,4246.11
PO0593,E1112,2,19566.55,1956.65
PO0594,E1113,3,778.68,77.87
PO0595,E1114,4,22380.16,2238.02
PO0596,E1116,6,23464.69,2346.47
PO0597,E1117,7,1392.43,139.24
PO0598,E1118,8,16891.82,1689.18
PO0599,E1119,9,12650.92,1265.09
PO0600,E1120,10,18318.45,1831.85
PO0601,E1161,6,21670.41,2167.04
PO0602,E1162,7,31767.39,3176.74
PO0603,E1163,8,19010.51,1901.05
PO0604,E1164,9,24172.09,2417.21
PO0605,E1165,10,4421.98,442.20
PO0606,E1166,1,27787.58,2778.76
PO0607,E1167,2,4418.53,441.85
PO0608,E1168,3,44373.56,4437.36
PO0609,E1170,5,30117.88,3011.79
PO0610,E1171,1,37417.30,3741.73
PO0611,E1173,3,39264.58,3926.46
PO0612,E1174,4,28443.71,2844.37
PO0613,E1175,5,33066.48,3306.65
PO0614,E1176,6,17806.93,1780.69
PO0615,E1177,7,11062.09,1106.21
PO0616,E1178,8,29374.25,2937.43
PO0617,E1179,9,4215.33,421.53
PO0618,E1180,10,5004.21,500.42
PO0619,E1181,6,21120.63,2112.06
PO0620,E1183,8,12625.54,1262.55
PO0621,E1185,10,4726.95,472.69
PO0622,E1186,1,15892.30,1589.23
PO0623,E1187,2,4014.55,401.46
PO0624,E1188,3,27129.68,2712.97
PO0625,E1189,4,41126.51,4112.65
PO0626,E1190,5,4334.24,433.42
PO0627,E1191,1,24149.31,2414.93
PO0628,E1192,2,7766.30,776.63
PO0629,E1193,3,8071.56,807.16
PO0630,E1194,4,7901.15,790.12
PO0631,E1195,5,35799.41,3579.94
PO0632,E1196,6,11924.09,1192.41
PO0633,E1197,7,9611.95,961.20
PO0634,E1198,8,4468.58,446.86
PO0635,E1199,9,22527.81,2252.78
PO0636,E1200,10,20408.81,2040.88
PO0637,E1202,7,25108.26,2510.83
PO0638,E1203,8,24812.51,2481.25
PO0639,E1204,9,14809.58,1480.96
PO0640,E1205,10,18919.69,1891.97
PO0641,E1206,1,15680.16,1568.02
PO0642,E1207,2,17121.16,1712.12
PO0643,E1208,3,40590.09,4059.01
PO0644,E1209,4,22797.67,2279.77
PO0645,E1210,5,28090.94,2809.09
PO0646,E1251,1,12937.02,1293.70
PO0647,E1252,2,37705.05,3770.51
PO0648,E1253,3,21632.88,2163.29
PO0649,E1254,4,44796.75,4479.68
PO0650,E1255,5,9360.12,936.01
PO0651,E1256,6,6866.15,686.62
PO0652,E1257,7,21715.18,2171.52
PO0653,E1259,9,24338.10,2433.81
PO0654,E1260,10,19392.88,1939.29
PO0655,E1261,6,5414.96,541.50
PO0656,E1262,7,12319.54,1231.95
PO0657,E1263,8,2796.51,279.65
PO0658,E1264,9,3115.99,311.60
PO0659,E1265,10,6357.26,635.73
PO0660,E1267,2,24669.87,2466.99
PO0661,E1268,3,28049.50,2804.95
PO0662,E1269,4,42884.91,4288.49
PO0663,E1270,5,11302.43,1130.24
PO0664,E1271,1,52877.46,5287.75
PO0665,E1272,2,9682.00,968.20
PO0666,E1273,3,37019.81,3701.98
PO0667,E1274,4,32048.70,3204.87
PO0668,E1275,5,38354.36,3835.44
PO0669,E1276,6,24743.75,2474.38
PO0670,E1277,7,6350.41,635.04
PO0671,E1278,8,8409.12,840.91
