Match_ID,League_ID,Team_A_ID,Team_B_ID,Server_Region,Scheduled_Time,Match_Status
M092,L021,T009,T118,Singapore,2025-03-24 12:00:00,Completed
M093,L022,T118,T041,Tokyo,2025-03-24 18:00:00,Completed
M094,L023,T041,T047,London,2025-03-25 00:00:00,Completed
M095,L024,T047,T039,Mumbai,2025-03-25 06:00:00,Scheduled
M096,L001,T039,T101,Frankfurt,2025-03-25 12:00:00,Live
M097,L002,T101,T018,Singapore,2025-03-25 18:00:00,Cancelled
M098,L003,T018,T012,Tokyo,2025-03-26 00:00:00,Postponed
M099,L004,T012,T063,London,2025-03-26 06:00:00,Completed
M100,L005,T063,T089,Mumbai,2025-03-26 12:00:00,Completed
M101,L006,T089,T031,Frankfurt,2025-03-26 18:00:00,Completed
M102,L007,T031,T109,Singapore,2025-03-27 00:00:00,Completed
M103,L008,T109,T107,Tokyo,2025-03-27 06:00:00,Completed
M104,L009,T107,T035,London,2025-03-27 12:00:00,Scheduled
M105,L010,T035,T067,Mumbai,2025-03-27 18:00:00,Live
M106,L011,T067,T113,Frankfurt,2025-03-28 00:00:00,Cancelled
M107,L012,T113,T066,Singapore,2025-03-28 06:00:00,Postponed
M108,L013,T066,T006,Tokyo,2025-03-28 12:00:00,Completed
M109,L014,T006,T111,London,2025-03-28 18:00:00,Completed
M110,L015,T111,T046,Mumbai,2025-03-29 00:00:00,Completed
M111,L016,T046,T020,Frankfurt,2025-03-29 06:00:00,Completed
M112,L017,T020,T112,Singapore,2025-03-29 12:00:00,Completed
M113,L018,T112,T092,Tokyo,2025-03-29 18:00:00,Scheduled
M114,L019,T092,T094,London,2025-03-30 00:00:00,Live
M115,L020,T094,T023,Mumbai,2025-03-30 06:00:00,Cancelled
M116,L021,T023,T087,Frankfurt,2025-03-30 12:00:00,Postponed
M117,L022,T087,T064,Singapore,2025-03-30 18:00:00,Completed
M118,L023,T064,T033,Tokyo,2025-03-31 00:00:00,Completed
M119,L024,T033,T093,London,2025-03-31 06:00:00,Completed
M120,L001,T093,T096,Mumbai,2025-03-31 12:00:00,Completed
M121,L002,T096,T082,Frankfurt,2025-03-31 18:00:00,Completed
M122,L003,T114,T070,Singapore,2025-04-01 00:00:00,Scheduled
M123,L004,T082,T095,Tokyo,2025-04-01 06:00:00,Live
M124,L005,T070,T008,London,2025-04-01 12:00:00,Cancelled
M125,L006,T095,T016,Mumbai,2025-04-01 18:00:00,Postponed
M126,L007,T008,T026,Frankfurt,2025-04-02 00:00:00,Completed
M127,L008,T016,T001,Singapore,2025-04-02 06:00:00,Completed
M128,L009,T026,T044,Tokyo,2025-04-02 12:00:00,Completed
M129,L010,T001,T115,London,2025-04-02 18:00:00,Completed
M130,L011,T044,T060,Mumbai,2025-04-03 00:00:00,Completed
M131,L012,T115,T002,Frankfurt,2025-04-03 06:00:00,Scheduled
M132,L013,T060,T084,Singapore,2025-04-03 12:00:00,Live
M133,L014,T002,T105,Tokyo,2025-04-03 18:00:00,Cancelled
M134,L015,T084,T013,London,2025-04-04 00:00:00,Postponed
M135,L016,T105,T011,Mumbai,2025-04-04 06:00:00,Completed
M136,L017,T013,T048,Frankfurt,2025-04-04 12:00:00,Completed
M137,L018,T011,T102,Singapore,2025-04-04 18:00:00,Completed
M138,L019,T048,T021,Tokyo,2025-04-05 00:00:00,Completed
M139,L020,T102,T014,London,2025-04-05 06:00:00,Completed
M140,L021,T021,T062,Mumbai,2025-04-05 12:00:00,Scheduled
M141,L022,T014,T045,Frankfurt,2025-04-05 18:00:00,Live
M142,L023,T062,T027,Singapore,2025-04-06 00:00:00,Cancelled
M143,L024,T045,T040,Tokyo,2025-04-06 06:00:00,Postponed
M144,L001,T027,T108,London,2025-04-06 12:00:00,Completed
M145,L002,T040,T028,Mumbai,2025-04-06 18:00:00,Completed
M146,L003,T108,T065,Frankfurt,2025-04-07 00:00:00,Completed
M147,L004,T028,T076,Singapore,2025-04-07 06:00:00,Completed
M148,L005,T065,T110,Tokyo,2025-04-07 12:00:00,Completed
M149,L006,T076,T088,London,2025-04-07 18:00:00,Scheduled
M150,L007,T110,T032,Mumbai,2025-04-08 00:00:00,Live
M151,L008,T088,T061,Frankfurt,2025-04-08 06:00:00,Cancelled
M152,L009,T032,T079,Singapore,2025-04-08 12:00:00,Postponed
M153,L010,T061,T025,Tokyo,2025-04-08 18:00:00,Completed
M154,L011,T079,T117,London,2025-04-09 00:00:00,Completed
M155,L012,T025,T077,Mumbai,2025-04-09 06:00:00,Completed
M156,L013,T117,T043,Frankfurt,2025-04-09 12:00:00,Completed
M157,L014,T077,T051,Singapore,2025-04-09 18:00:00,Completed
M158,L015,T043,T098,Tokyo,2025-04-10 00:00:00,Scheduled
M159,L016,T051,T083,London,2025-04-10 06:00:00,Live
M160,L017,T098,T100,Mumbai,2025-04-10 12:00:00,Cancelled
M161,L018,T083,T103,Frankfurt,2025-04-10 18:00:00,Postponed
M162,L019,T100,T080,Singapore,2025-04-11 00:00:00,Completed
M163,L020,T103,T036,Tokyo,2025-04-11 06:00:00,Completed
M164,L021,T080,T086,London,2025-04-11 12:00:00,Completed
M165,L022,T036,T054,Mumbai,2025-04-11 18:00:00,Completed
M166,L023,T086,T120,Frankfurt,2025-04-12 00:00:00,Completed
M167,L024,T054,T057,Singapore,2025-04-12 06:00:00,Scheduled
M168,L001,T120,T081,Tokyo,2025-04-12 12:00:00,Live
M169,L002,T057,T053,London,2025-04-12 18:00:00,Cancelled
M170,L003,T081,T085,Mumbai,2025-04-13 00:00:00,Postponed
M171,L004,T053,T075,Frankfurt,2025-04-13 06:00:00,Completed
M172,L005,T085,T071,Singapore,2025-04-13 12:00:00,Completed
M173,L006,T075,T024,Tokyo,2025-04-13 18:00:00,Completed
M174,L007,T071,T005,London,2025-04-14 00:00:00,Completed
M175,L008,T024,T091,Mumbai,2025-04-14 06:00:00,Completed
M176,L009,T005,T030,Frankfurt,2025-04-14 12:00:00,Scheduled
M177,L010,T091,T099,Singapore,2025-04-14 18:00:00,Live
M178,L011,T030,T015,Tokyo,2025-04-15 00:00:00,Cancelled
M179,L012,T099,T042,London,2025-04-15 06:00:00,Postponed
M180,L013,T015,T097,Mumbai,2025-04-15 12:00:00,Completed
M181,L014,T042,T072,Frankfurt,2025-04-15 18:00:00,Completed
M182,L015,T097,T003,Singapore,2025-04-16 00:00:00,Completed
M183,L016,T072,T034,Tokyo,2025-04-16 06:00:00,Completed
M184,L017,T003,T004,London,2025-04-16 12:00:00,Completed
M185,L018,T034,T069,Mumbai,2025-04-16 18:00:00,Scheduled
M186,L019,T004,T104,Frankfurt,2025-04-17 00:00:00,Live
M187,L020,T069,T052,Singapore,2025-04-17 06:00:00,Cancelled
M188,L021,T104,T106,Tokyo,2025-04-17 12:00:00,Postponed
M189,L022,T052,T049,London,2025-04-17 18:00:00,Completed
M190,L023,T106,T116,Mumbai,2025-04-18 00:00:00,Completed
M191,L024,T049,T059,Frankfurt,2025-04-18 06:00:00,Completed
M192,L001,T116,T090,Singapore,2025-04-18 12:00:00,Completed
M193,L002,T059,T029,Tokyo,2025-04-18 18:00:00,Completed
M194,L003,T090,T073,London,2025-04-19 00:00:00,Scheduled
M195,L004,T029,T019,Mumbai,2025-04-19 06:00:00,Live
M196,L005,T073,T007,Frankfurt,2025-04-19 12:00:00,Cancelled
M197,L006,T019,T017,Singapore,2025-04-19 18:00:00,Postponed
M198,L007,T007,T038,Tokyo,2025-04-20 00:00:00,Completed
M199,L008,T017,T010,London,2025-04-20 06:00:00,Completed
M200,L009,T038,T119,Mumbai,2025-04-20 12:00:00,Completed
